Source	Value
9/12/2018 4:00:07 AM	6.45
9/12/2018 4:00:11 AM	3.17
9/12/2018 5:00:16 AM	5.75
9/12/2018 5:00:57 AM	4.61
9/12/2018 6:00:25 AM	5.39
9/12/2018 6:00:42 AM	6.30
9/12/2018 7:00:20 AM	10.06
9/12/2018 7:00:34 AM	11.89
9/12/2018 8:00:03 AM	12.69
9/12/2018 8:00:09 AM	6.42
9/12/2018 9:00:06 AM	13.88
9/12/2018 9:00:09 AM	5.79
9/12/2018 10:00:20 AM	6.61
9/12/2018 10:00:21 AM	9.48
9/12/2018 10:00:32 AM	5.39
9/12/2018 11:00:09 AM	11.87
9/12/2018 11:00:31 AM	8.28
9/12/2018 12:00:01 PM	5.45
9/12/2018 12:00:27 PM	12.69
9/12/2018 1:00:13 PM	9.74
9/12/2018 1:00:52 PM	13.90
9/12/2018 2:00:04 PM	15.05
9/12/2018 2:00:20 PM	9.38
9/12/2018 3:00:09 PM	8.39
9/12/2018 3:00:16 PM	9.41
9/12/2018 4:00:01 PM	5.45
9/12/2018 4:00:25 PM	6.19
9/12/2018 5:00:00 PM	6.65
9/12/2018 5:00:02 PM	9.80
9/12/2018 6:00:10 PM	5.94
9/12/2018 6:00:31 PM	15.02
9/12/2018 7:00:22 PM	5.85
9/12/2018 7:00:31 PM	9.39
9/12/2018 8:00:20 PM	6.19
9/12/2018 8:00:56 PM	4.80
9/12/2018 9:00:04 PM	5.77
9/12/2018 9:00:07 PM	20.30
9/12/2018 10:00:07 PM	5.95
9/12/2018 10:00:14 PM	4.56
9/12/2018 11:00:05 PM	4.82
9/12/2018 11:00:22 PM	6.09
9/13/2018 12:00:29 AM	10.44
9/13/2018 12:00:52 AM	4.32
9/13/2018 1:00:23 AM	8.56
9/13/2018 1:00:37 AM	19.33
9/13/2018 2:00:03 AM	6.43
9/13/2018 2:00:31 AM	3.57
9/13/2018 3:00:12 AM	10.71
9/13/2018 3:00:20 AM	4.18
9/13/2018 4:00:02 AM	5.73
9/13/2018 4:00:08 AM	6.86
9/13/2018 5:00:18 AM	5.41
9/13/2018 5:00:19 AM	7.92
9/13/2018 6:00:10 AM	6.43
9/13/2018 6:00:28 AM	5.64
9/13/2018 7:00:18 AM	10.72
9/13/2018 7:00:37 AM	11.42
9/13/2018 8:00:04 AM	6.86
9/13/2018 8:00:08 AM	13.08
9/13/2018 9:00:03 AM	12.61
9/13/2018 9:00:41 AM	5.40
9/13/2018 10:00:15 AM	5.63
9/13/2018 10:00:17 AM	11.45
9/13/2018 10:00:18 AM	8.77
9/13/2018 11:00:12 AM	11.38
9/13/2018 11:00:31 AM	9.07
9/13/2018 12:00:27 PM	13.09
9/13/2018 12:00:45 PM	6.63
9/13/2018 1:00:04 PM	12.63
9/13/2018 1:00:09 PM	10.95
9/13/2018 2:00:07 PM	14.92
9/13/2018 2:00:47 PM	11.43
9/13/2018 3:00:15 PM	9.08
9/13/2018 3:00:19 PM	10.67
9/13/2018 4:00:29 PM	7.90
9/13/2018 5:00:15 PM	10.95
9/13/2018 5:00:39 PM	8.30
9/13/2018 6:00:01 PM	7.22
9/13/2018 6:00:02 PM	4.37
9/13/2018 6:00:04 PM	14.92
9/13/2018 7:00:15 PM	6.49
9/13/2018 7:00:47 PM	10.65
9/13/2018 8:00:06 PM	11.49
9/13/2018 8:00:19 PM	7.90
9/13/2018 9:00:25 PM	6.40
9/13/2018 10:00:17 PM	6.22
9/13/2018 10:00:38 PM	3.07
9/13/2018 11:00:00 PM	4.85
9/13/2018 11:00:43 PM	2.82
9/14/2018 12:00:38 AM	5.23
9/14/2018 12:00:48 AM	3.40
9/14/2018 1:00:09 AM	4.32
9/14/2018 1:00:53 AM	3.50
9/14/2018 2:00:04 AM	7.38
9/14/2018 2:00:40 AM	3.08
9/14/2018 3:00:06 AM	14.30
9/14/2018 3:00:23 AM	2.82
9/14/2018 4:00:20 AM	8.92
9/14/2018 4:00:26 AM	3.41
9/14/2018 5:00:27 AM	8.36
9/14/2018 6:00:11 AM	7.37
9/14/2018 6:00:34 AM	8.61
9/14/2018 7:00:04 AM	14.27
9/14/2018 7:00:41 AM	10.83
9/14/2018 8:00:47 AM	8.90
9/14/2018 8:00:52 AM	11.08
9/14/2018 8:00:53 AM	16.15
9/14/2018 9:00:02 AM	17.44
9/14/2018 9:00:18 AM	8.37
9/14/2018 10:00:13 AM	4.92
9/14/2018 10:00:14 AM	12.77
9/14/2018 10:00:31 AM	8.63
9/14/2018 11:00:17 AM	10.80
9/14/2018 11:00:21 AM	13.43
9/14/2018 12:00:15 PM	16.10
9/14/2018 12:00:30 PM	7.02
9/14/2018 1:00:05 PM	17.44
9/14/2018 1:00:38 PM	13.64
9/14/2018 2:00:20 PM	12.77
9/14/2018 2:00:48 PM	15.56
9/14/2018 3:00:02 PM	4.50
9/14/2018 3:00:03 PM	7.75
9/14/2018 3:00:06 PM	13.43
9/14/2018 4:00:07 PM	4.97
9/14/2018 4:00:28 PM	7.01
9/14/2018 5:00:13 PM	9.34
9/14/2018 5:00:14 PM	2.48
9/14/2018 5:00:47 PM	13.64
9/14/2018 6:00:07 PM	15.51
9/14/2018 6:00:22 PM	27.18
9/14/2018 7:00:28 PM	14.25
9/14/2018 7:00:38 PM	7.73
9/14/2018 8:00:06 PM	4.98
9/14/2018 8:00:34 PM	7.10
9/14/2018 9:00:40 PM	13.29
9/14/2018 9:00:42 PM	6.90
9/14/2018 10:00:02 PM	11.14
9/14/2018 10:00:06 PM	4.16
9/14/2018 11:00:13 PM	2.77
9/14/2018 11:00:24 PM	6.76
9/15/2018 12:00:19 AM	2.38
9/15/2018 12:00:20 AM	2.60
9/15/2018 12:00:39 AM	5.14
9/15/2018 1:00:03 AM	3.29
9/15/2018 1:00:11 AM	6.94
9/15/2018 2:00:08 AM	7.89
9/15/2018 2:00:17 AM	4.15
9/15/2018 3:00:14 AM	2.76
9/15/2018 3:00:16 AM	13.34
9/15/2018 4:00:13 AM	2.61
9/15/2018 4:00:28 AM	16.00
9/15/2018 5:00:01 AM	3.29
9/15/2018 5:00:07 AM	25.74
9/15/2018 6:00:05 AM	6.74
9/15/2018 6:00:18 AM	9.03
9/15/2018 7:00:27 AM	11.70
9/15/2018 7:00:33 AM	12.51
9/15/2018 8:00:06 AM	20.05
9/15/2018 8:00:43 AM	8.63
9/15/2018 9:00:18 AM	13.00
