INSTNAME       ,DB_ID     ,HOSTNAME                      ,        ID,TM               ,      INST,       DUR,       CPU,   LOADAVG,   AAS_CPU,RSRCMGRPCT,  OSCPUPCT,  OSCPUSYS,   OSCPUIO
tesprrn1       ,3956548928,example.com          ,     21782,10/08/18 08:00:35,         1,     60.08,        28,      8.81,7.05319834,         0,25.1899941,3.84605706,.018109768
tesprrn1       ,3956548928,example.com          ,     21698,10/04/18 20:00:15,         1,      60.1,        28,       8.4,5.82313089,         0, 20.796896, 5.0652583,.014410506
tesprrn1       ,3956548928,example.com          ,     21686,10/04/18 08:00:06,         1,     59.98,        28,     12.25,6.65311475,         0,23.7611241,4.55881594,.018120113
tesprrn1       ,3956548928,example.com          ,     21753,10/07/18 03:00:03,         1,     60.08,        28,       4.4,2.12080721,         0,7.57431147,2.65249653,.018941946
tesprrn1       ,3956548928,example.com          ,     21754,10/07/18 04:00:08,         1,     59.88,        28,      6.18,2.35723073,         0,8.41868117,2.55698581,.035704346
tesprrn1       ,3956548928,example.com          ,     21764,10/07/18 14:00:07,         1,      60.1,        28,      9.17,9.69398502,.000019808,34.6213553,5.44975636,.021987164
tesprrn1       ,3956548928,example.com          ,     21766,10/07/18 16:00:04,         1,      60.1,        28,         5,2.64931503,         0,9.46183939,2.85087354,.018035417
tesprrn1       ,3956548928,example.com          ,     21768,10/07/18 18:00:15,         1,      60.1,        28,       4.8,2.26273433,9.9041E-06,8.08118414,2.79088424,.027503764
tesprrn1       ,3956548928,example.com          ,     21770,10/07/18 20:00:27,         1,      60.1,        28,     11.68,10.8108347,9.9041E-06,38.6101141,7.33554195,.012538626
tesprrn1       ,3956548928,example.com          ,     21772,10/07/18 22:00:38,         1,      60.1,        28,      6.29,4.57588464,9.9041E-06,16.3424352,4.55635449,.063534981
tesprrn1       ,3956548928,example.com          ,     21786,10/08/18 12:00:14,         1,     59.83,        28,     22.13,16.2482033,         0,58.0292977,7.17450259,.015847593
tesprrn1       ,3956548928,example.com          ,     21790,10/08/18 16:00:21,         1,     60.08,        28,      8.94,7.66424965,         0,27.3723202, 4.7567664,.018377254
